"id","school_year","district_name","enrollment_grades_k_12","total_susp","iss_b","oss_b","iss_w","oss_w","h","a","m","p","i","b_disp","w_disp","h_disp","a_disp","m_disp","p_disp","i_disp"
"218",2009,"LAMAR R-I",1338,569,,,550,19,,,,,,,1.04942806170637,,,,,
"219",2009,"ADRIAN R-III",750,62,,,62,,,,,,,,1.01347927434884,,,,,
"220",2009,"RICH HILL R-IV",403,38,,,31,7,,,,,,,1.03337811305157,,,,,
"221",2009,"HUME R-VIII",145,10,,,10,,,,,,,,1.07411385606874,,,,,
"222",2009,"BUTLER R-V",1024,180,,,155,25,,,,,,,1.06439595529537,,,,,
"223",2009,"LINCOLN R-II",531,71,,,65,6,,,,,,,1.02711585866886,,,,,
"224",2009,"WARSAW R-IX",1245,587,,,573,7,7,,,,,,1.02945921797308,0.822416730306057,,,,
"225",2009,"COLE CAMP R-I",756,65,,,65,,,,,,,,1.02438024994878,,,,,
"226",2009,"WOODLAND R-IV",903,169,,,150,19,,,,,,,1.01461038961039,,,,,
"227",2009,"SOUTHERN BOONE CO. R-I",1411,618,7,,426,170,15,,,,,0.666285931848468,1.00353932830217,2.28979666605605,,,,
"228",2009,"HALLSVILLE R-IV",1305,73,,,58,15,,,,,,,1.06791969243913,,,,,
"229",2009,"STURGEON R-V",453,46,,,24,22,,,,,,,1.03188525435972,,,,,
"230",2009,"CENTRALIA R-VI",1304,129,,,80,49,,,,,,,1.0275380189067,,,,,
"231",2009,"HARRISBURG R-VIII",585,103,,,84,19,,,,,,,1.01739749720216,,,,,
"232",2009,"COLUMBIA 93",16695,9680,2933,2910,2006,1641,143,40,,,7,2.6661470957568,0.554869217006049,0.376855287569573,0.0791615211677908,,,0.23327112769928
"233",2009,"EAST BUCHANAN CO. C-1",735,70,,,70,,,,,,,,1.02511532547412,,,,,
"234",2009,"MID-BUCHANAN CO. R-V",693,14,,,14,,,,,,,,1.04210087536474,,,,,
"235",2009,"BUCHANAN CO. R-IV",351,79,,,67,12,,,,,,,1.01440454453236,,,,,
"236",2009,"ST. JOSEPH",11492,5104,675,174,3245,837,173,,,,,1.71484665352422,0.961371427193331,0.582388046838811,,,,
"237",2009,"NEELYVILLE R-IV",620,108,,,93,15,,,,,,,1.06894708711919,,,,,
"238",2009,"POPLAR BLUFF R-I",4708,3008,643,142,1835,388,,,,,,2.13735253628871,0.867914568783498,,,,,
"239",2009,"TWIN RIVERS R-X",1010,385,,,356,29,,,,,,,1.00593501659793,,,,,
"240",2009,"HAMILTON R-II",733,228,,,162,66,,,,,,,1.03680663556247,,,,,
"241",2009,"POLO R-VII",376,7,,,7,,,,,,,,1.00270730973629,,,,,
"242",2009,"BRAYMER C-4",328,51,,,37,14,,,,,,,1.04123281965848,,,,,
"243",2009,"NORTH CALLAWAY CO. R-I",1292,102,,,90,12,,,,,,,1.0436234606554,,,,,
"244",2009,"NEW BLOOMFIELD R-III",722,205,,,193,12,,,,,,,1.04942806170637,,,,,
"245",2009,"FULTON 58",2134,830,169,,608,43,10,,,,,1.62113421840227,0.929860520921862,0.777302759424796,,,,
"246",2009,"STOUTLAND R-II",466,104,,,104,,,,,,,,1.01522842639594,,,,,
"247",2009,"CAMDENTON R-III",4184,3208,23,,2872,242,71,,,,,0.814724552255724,1.01921278282664,0.804806166402176,,,,
"248",2009,"CLIMAX SPRINGS R-IV",228,62,,,62,,,,,,,,1.04591569919464,,,,,
"249",2009,"JACKSON R-II",4613,727,6,,562,159,,,,,,0.35573684959446,1.03576700270434,,,,,
"250",2009,"DELTA R-V",312,7,,,7,,,,,,,,1,,,,,
"251",2009,"CAPE GIRARDEAU 63",3864,2277,1081,412,627,157,,,,,,2.07299180480942,0.536479732219974,,,,,
